Brand,Car Model,Mileage Drove,City,Price,Member,How Long Ago
Toyota,Toyota Axio Octane use 2010,"55,000 km",Dhaka,"Tk 1,595,000",Yes,14 minutes
Toyota,Toyota Premio F G pkg 2012,"63,000 km",Dhaka,"Tk 2,395,000",Yes,Not given
Toyota,Toyota Hiace Super Gl 2010,"89,000 km",Chattogram,"Tk 2,280,000",Yes,14 minutes
Toyota,Toyota Corolla G 2005,"85,000 km",Chattogram,"Tk 1,270,000",Yes,16 minutes
Mitsubishi,Mitsubishi Pajero v93 2007,"59,000 km",Chattogram,"Tk 3,300,000",Yes,16 minutes
Mercedes-Benz,Mercedes-Benz MB100 Diesel Engine 2005,"98,563 km",Dhaka,"Tk 620,000",Yes,16 minutes
Mercedes-Benz,Mercedes-Benz MB100 Diesel Engine 2005,"145,871 km",Barishal,"Tk 620,000",Yes,16 minutes
Toyota,Toyota C-HR G LED 2019,"61,000 km",Chattogram,"Tk 3,300,000",Yes,16 minutes
Toyota,Toyota C-HR G LED MODELISTA 2019,"61,500 km",Dhaka,"Tk 3,300,030",Yes,18 minutes
Toyota,Toyota Axio EX HYB 16700KM 2021,"16,700 km",Chattogram,"Tk 2,580,000",Yes,18 minutes
Toyota,Toyota Axio EX HYB 17000KM 2021,"16,770 km",Dhaka,"Tk 2,580,080",Yes,18 minutes
Toyota,Toyota Aqua hybrid 2014,"89,000 km",Chattogram,"Tk 1,250,000",Yes,18 minutes
Toyota,Toyota Noah X 2004,"120,000 km",Chattogram,"Tk 1,150,000",Yes,20 minutes
Toyota,Toyota Sprinter 111 1999,"98,000 km",Chattogram,"Tk 600,000",Yes,20 minutes
Toyota,Toyota Corolla Cross “Z Leather” 2023,"3,000 km",Dhaka,"Tk 5,510,000",Yes,20 minutes
Honda,Honda Vezel Z RS Hybrid 2023,"10,000 km",Dhaka,"Tk 4,400,000",Yes,20 minutes
Toyota,Toyota Allion push start 2007,"89,000 km",Chattogram,"Tk 1,690,000",Yes,20 minutes
Nissan,Nissan Bluebird LPG 2008,"86,000 km",Chattogram,"Tk 1,350,000",Yes,20 minutes
Toyota,Toyota Axio X/84 2019,"35,000 km",Dhaka,"Tk 2,290,000",Yes,20 minutes
Mitsubishi,Mitsubishi Pajero Sunroof (LPG) 1994,"157,421 km",Barishal,"Tk 590,000",Yes,20 minutes
Nissan,Nissan Carryboy Deasel 2007,"98,000 km",Dhaka,"Tk 885,000",Yes,20 minutes
Nissan,Nissan Carryboy single cabin 2010,"95,000 km",Dhaka,"Tk 950,000",Yes,24 minutes
Nissan,Nissan Urvan . 2007,"78,000 km",Dhaka,"Tk 965,000",Yes,24 minutes
Toyota,Toyota Fielder G-limited 2011,"68,000 km",Dhaka,"Tk 1,565,000",Yes,24 minutes
